49 Monroe St,40.7118467,-73.9937348,4.5
301 Grand St,40.71744,-73.99186,5
79 Chambers St,40.71474,-74.00671,4
106 Mott St,40.71763,-73.99714,4.5
26 Bond St,40.726621,-73.993545,3.5
75 Maiden Ln,40.70769,-74.00767,3.5
28 Watts St,40.72359618,-74.00409635,4
11 Hanover Sq,40.705264,-74.008854,3.5
181 Duane St,40.71755,-74.01013,3.5
56 MacDougal St,40.72759,-74.0024,4
348 Bowery,40.72664,-73.99202,4
28 Mott St,40.71461,-73.99871,3.5
46 Stone St,40.70430693,-74.01044012,3
28 S William St,40.70437999,-74.01129004,4
239 W Broadway,40.7195533,-74.00579829,4
77 E 4th St,40.72663546,-73.99043603,4
164 Mulberry St,40.71963,-73.99691,3.5
73 Thompson St,40.724597,-74.003174,4.5
28 Cliff St,40.70806,-74.0051,4
255 Greenwich St,40.714537,-74.011131,4
88 Elizabeth St,40.71817,-73.99571,4
267 Elizabeth St,40.7240304,-73.9939028,3.5
64A Bayard St,40.71555374,-73.9980342,4
68 Mott St,40.71618,-73.99804,3.5
119 Sullivan St,40.72612,-74.0025299,4
121 Baxter St,40.71810736,-73.99910254,4
168 William St,40.71021825,-74.00562,4
190 Hester St,40.71825,-73.99842,4
101 Maiden Ln,40.707,-74.00686,3.5
89 South St,40.70634,-74.0038299,3
26 Eldridge St,40.71511,-73.99332,4
17 Ann St,40.71096,-74.0077699,4
136 Division St,40.71456,-73.99154,4
225 Liberty St,40.712693,-74.015839,3.5
52 Walker St,40.7191286,-74.0032257,4.5
136 W Broadway,40.716972,-74.008369,3.5
62 Spring St,40.72220384,-73.99699098,4
100 Forsyth St,40.71824186,-73.9926061,5
2 Renwick St,40.72445246,-74.00855497,3.5
350 Hudson St,40.7276592,-74.0071263,4
312 Bowery,40.7250872,-73.9926904,4
110 Trinity Pl,40.70949059,-74.01200954,3.5
140 Broadway,40.70908998,-74.01078867,4
28 E 1st St,40.7242586,-73.9908082,3.5
30 Broad St,40.70634369,-74.01182954,4
128 W Houston St,40.72787,-74.00107,4
255 Liberty St,40.71154738,-74.01539952,3.5
34 Ludlow St,40.7159894,-73.99038877,4.5
2 Gold St,40.70755532,-74.00689817,3.5
46 Eldridge St,40.71586,-73.99288,4.5
47 Broadway,40.7065033,-74.01294015,3
98 Bowery,40.71773,-73.99554,3
225 Liberty St,40.712455,-74.015304,3.5
220 W Houston St,40.7286219,-74.0045657,3.5
114 Franklin St,40.71863524,-74.00600719,4
59 Reade St,40.7147585,-74.0064063,4
135 Bowery,40.71866,-73.99435,4
163 Bleecker St,40.72882,-73.999961,3.5
245 Bowery,40.722629,-73.992797,3.5
112 Macdougal St,40.72963,-74.00068,4
415 Lafayette St,40.72856,-73.99233,3.5
88 Fulton St,40.70912,-74.00578,3.5
