1521 York Ave,40.7725246,-73.9499197,4.5,42428022,42428037
2 Gold St,40.7075553189,-74.0068981687,3.5,6262915548,42428376
37-11 30th Ave,40.7646298318,-73.9159499109,4.0,42874062,42873480
816 Broadway,40.7327799574,-73.9910601452,4.0,42428493,42428473
9 Crosby St,40.7198301,-74.0000708,3.5,42439581,1918039880
20 W 55th St,40.76196,-73.9761599,4.0,2140994070,371337241
247 E 81st St,40.77485,-73.95428,4.5,42451754,42452951
851 6th Ave,40.7472104,-73.9899179,3.5,42430292,42430295
163 1st Ave,40.72896,-73.98454,4.0,4205565489,42440743
1272 Amsterdam Ave,40.811241,-73.958229,3.5,3579432162,42442584
728 8th Ave,40.75927,-73.98809,3.5,5849918504,4207957615
137 1st Ave,40.7279305524,-73.9851133525,3.5,42453166,4205565489
5 Bleecker St,40.725502,-73.992675,4.0,42431822,1773084391
30 W 18th St,40.73902,-73.99358,4.0,42430237,42437949
309 E Houston,40.7211848352,-73.9834727264,4.5,4215580880,42440401
922 7th Ave,40.7663869,-73.9796481,3.5,42423674,42440022
335 Lafayette St,40.7257318645,-73.9946338116,4.0,1918039897,42445520
336 Lexington Ave,40.74979,-73.97757,3.5,42446949,42446942
420 Park Ave S,40.74391,-73.9839,3.5,4597668043,4597668032
533 Grand St,40.71118,-73.95003,4.0,42520579,42535541
20 W 38th St,40.75121,-73.98391,3.5,42428268,42433604
108 Stanton St,40.72124,-73.9875,3.5,42432063,42427352
104 W 96th St,40.792959,-73.968184,4.0,4205805396,1061531807
227 Mulberry St,40.7224674341,-73.9961837964,4.5,42435434,1692433914
220 E 42nd St,40.74998,-73.973,4.0,4202958489,42455929
118 E 40th St,40.7502799,-73.97753,4.0,42446949,42442935
90 E 42nd St,40.7520169764,-73.977726845,3.0,561042204,561042203
2454 Broadway,40.7911514,-73.9739083,3.0,42428705,42428634
587 1st Ave,40.7436075822,-73.9739845107,4.0,42445390,42434974
128 W 72nd St,40.77763,-73.98003,4.0,42443336,42442432
181 Grand St,40.7193075363,-73.9977402932,3.5,42439207,42440810
80 7th Ave,40.7395,-73.99922,4.5,42439830,42439823
16 N Moore St,40.71972,-74.00707,4.0,42445700,4207143418
477 Amsterdam Ave,40.785573253,-73.9763537724,3.5,42442469,42442534
170 Elizabeth St,40.72091,-73.99474,3.0,42438034,42431822
70 South St,40.7049434741,-74.0048825741,3.5,42444242,42454798
1271 Broadway,40.748314092,-73.988480192,3.5,42428232,42428216
1114 Avenue Of The Americas,40.754825,-73.982846,4.0,42430338,42439981
523 9th Ave,40.7567,-73.99411,4.5,4207913309,4491359481
